time,open,high,low,close,funding
2014-12-01T00:00:00Z,300,370,300,370,NaN
2014-12-02T00:00:00Z,377,378,377,378,NaN
2014-12-03T00:00:00Z,377.9,378,377.01,378,NaN
2014-12-04T00:00:00Z,377.1,377.1,377.1,377.1,NaN
2014-12-06T00:00:00Z,378,378,378,378,NaN
2014-12-08T00:00:00Z,375.01,375.01,375,375,NaN
2014-12-10T00:00:00Z,398,398,360.5,360.5,NaN
2014-12-12T00:00:00Z,379,379,350,350,NaN
2014-12-18T00:00:00Z,345,345,340,340,NaN
2015-01-08T00:00:00Z,360,360,264.81,288.99,NaN
2015-01-13T00:00:00Z,260,260,260,260,NaN
2015-01-14T00:00:00Z,200,221,109.87,120,NaN
2015-01-15T00:00:00Z,191.99,224,150,204.22,NaN
2015-01-16T00:00:00Z,210.98,225.5,189,199.46,NaN
2015-01-17T00:00:00Z,210,210,184,184,NaN
2015-01-19T00:00:00Z,210,225.51,210,225.51,NaN
2015-01-20T00:00:00Z,215,218,208,218,NaN
2015-01-21T00:00:00Z,219,225.51,219,225.51,NaN
2015-01-22T00:00:00Z,245.5,257.73,216.59,226.32,NaN
2015-01-23T00:00:00Z,230,235,215,235,NaN
2015-01-24T00:00:00Z,215,250.58,215,240,NaN
2015-01-25T00:00:00Z,248.02,256.26,245.32,254.53,NaN
2015-01-26T00:00:00Z,262.78,322.72,241.43,274.48,NaN
2015-01-27T00:00:00Z,274.73,278.47,244.03,263.65,NaN
2015-01-28T00:00:00Z,263.96,265.99,228.5,236.09,NaN
2015-01-29T00:00:00Z,235.89,242,221.14,235.03,NaN
2015-01-30T00:00:00Z,235,244.59,227.89,229.07,NaN
2015-01-31T00:00:00Z,229,234.67,217.11,218.45,NaN
2015-02-01T00:00:00Z,218.67,233.79,210,228.99,NaN
2015-02-02T00:00:00Z,228.39,240.1,220.89,237.83,NaN
2015-02-03T00:00:00Z,237.01,243.9,225.32,228.58,NaN
2015-02-04T00:00:00Z,228.77,230.99,221.5,227.11,NaN
