time,open,high,low,close,funding
2019-12-30T08:00:00Z,7359.99,7369.17,7232.37,7234.73,0.42150486577319235
2019-12-30T16:00:00Z,7236.01,7259.65,7200,7218,6.4840986239478315
2019-12-31T00:00:00Z,7218.01,7245,7173.63,7227.38,0.26485404908882515
2019-12-31T08:00:00Z,7227.37,7298.67,7165.39,7171.52,-12.327110713607258
2019-12-31T16:00:00Z,7171.52,7198.99,7111,7165.72,5.414983094897297
2020-01-01T00:00:00Z,7165.72,7218.42,7136.05,7185.91,6.975619074424344
2020-01-01T08:00:00Z,7185.9,7238.14,7158.19,7214.31,9.052165942617485
2020-01-01T16:00:00Z,7213.34,7231.27,7150,7174.33,0.978795667798904
2020-01-02T00:00:00Z,7174.33,7186.18,7074.09,7077.45,5.8887632702718795
2020-01-02T08:00:00Z,7075.04,7156.65,7075,7111.72,6.047127847545131
2020-01-02T16:00:00Z,7111.69,7125,6903,6945.02,0.8277629786834773
2020-01-03T00:00:00Z,6945.02,7281.24,6854.67,7184.66,-5.058704348280319
2020-01-03T08:00:00Z,7186.59,7369.61,7186.59,7313.23,30.778952178460827
2020-01-03T16:00:00Z,7315.02,7401.2,7250,7334.45,0.6874364464236615
2020-01-04T00:00:00Z,7334.45,7359.99,7277.34,7343.16,5.242990956335181
2020-01-04T08:00:00Z,7343.16,7357.39,7280.5,7306.11,5.010750111802076
2020-01-04T16:00:00Z,7306.12,7398,7263.32,7348.63,-5.656240458656592
2020-01-05T00:00:00Z,7348.63,7488.87,7348.62,7468.22,-0.5788514832851255
2020-01-05T08:00:00Z,7468.28,7475,7396.36,7459.97,-8.291590543992589
2020-01-05T16:00:00Z,7459.97,7479.52,7312.22,7355.4,-5.551733189950447
2020-01-06T00:00:00Z,7355.4,7580,7343.17,7503.56,-20.5837922095648
2020-01-06T08:00:00Z,7503.56,7615.68,7484.65,7516.84,0.36156707384005227
2020-01-06T16:00:00Z,7515.91,7805,7505.89,7764.63,9.9567309440447
2020-01-07T00:00:00Z,7764.63,8000,7764.63,7878.65,-2.1775752329954434
2020-01-07T08:00:00Z,7878.65,7966.16,7743.5,7766.06,1.359573099456668
2020-01-07T16:00:00Z,7766.06,8216,7723,8158.52,17.761644982701497
2020-01-08T00:00:00Z,8160.01,8469.39,8157.71,8300.13,25.258379589006008
2020-01-08T08:00:00Z,8299.01,8416.2,8202.57,8301.04,3.391222156143514
2020-01-08T16:00:00Z,8302.17,8332.49,7845,8045.51,11.807049789469781
2020-01-09T00:00:00Z,8047.75,8048.67,7902.24,7946.77,16.28203265193595
2020-01-09T08:00:00Z,7946.02,7953.57,7852.58,7899.51,5.57806787081272
2020-01-09T16:00:00Z,7899.5,7995.72,7744.48,7813.78,2.1906135447387065
2020-01-10T00:00:00Z,7813.78,7845.69,7711.01,7735.58,2.7700310415156304
2020-01-10T08:00:00Z,7735.58,8094.18,7671,8058.59,-1.1230890133723803
2020-01-10T16:00:00Z,8058.88,8199.77,7912.15,8198.09,6.132265691037864
2020-01-11T00:00:00Z,8198.09,8262.78,8048.53,8074.79,19.574351155929868
