time,open,high,low,close,funding
2016-05-23T00:00:00Z,13.91,13.91,13.61,13.61,NaN
2016-05-24T00:00:00Z,13.68,13.74,12,12.77,NaN
2016-05-25T00:00:00Z,13,13.18,11.93,12.61,NaN
2016-05-26T00:00:00Z,12.61,12.95,12.15,12.47,NaN
2016-05-27T00:00:00Z,12.47,12.47,10.25,10.98,NaN
2016-05-28T00:00:00Z,11.3,12.44,10.7,12.02,NaN
2016-05-29T00:00:00Z,12.02,12.49,11.7,12.34,NaN
2016-05-30T00:00:00Z,12.35,12.88,12,12.88,NaN
2016-05-31T00:00:00Z,12.84,14.24,12.37,14.16,NaN
2016-06-01T00:00:00Z,14.15,14.45,13.5,13.93,NaN
2016-06-02T00:00:00Z,13.93,14.18,13.76,14.03,NaN
2016-06-03T00:00:00Z,14.03,14.12,13.49,13.98,NaN
2016-06-04T00:00:00Z,13.98,14.03,13.56,13.95,NaN
2016-06-05T00:00:00Z,13.97,14.06,13.8,14.04,NaN
2016-06-06T00:00:00Z,14.02,14.3,13.83,14.22,NaN
2016-06-07T00:00:00Z,14.21,14.69,13.97,14.52,NaN
2016-06-08T00:00:00Z,14.53,14.87,14.4,14.64,NaN
2016-06-09T00:00:00Z,14.64,14.85,14.55,14.71,NaN
2016-06-10T00:00:00Z,14.61,14.74,13.76,13.91,NaN
2016-06-11T00:00:00Z,13.93,14.29,13.86,14.1,NaN
2016-06-12T00:00:00Z,14.14,15.91,13.92,15.58,NaN
2016-06-13T00:00:00Z,15.91,17.93,15.49,17.89,NaN
2016-06-14T00:00:00Z,17.86,19.08,16.96,18.79,NaN
2016-06-15T00:00:00Z,18.79,18.81,17.89,18.42,NaN
2016-06-16T00:00:00Z,18.51,21.35,18.5,20.99,NaN
2016-06-17T00:00:00Z,20.99,22,13.75,15.65,NaN
2016-06-18T00:00:00Z,15.64,15.74,10,11.64,NaN
2016-06-19T00:00:00Z,11.55,13.4,10.72,12.35,NaN
2016-06-20T00:00:00Z,12.35,12.74,10.8,11.81,NaN
2016-06-21T00:00:00Z,11.44,13.89,11.2,13.89,NaN
2016-06-22T00:00:00Z,13.3,15.89,13.07,13.18,NaN
2016-06-23T00:00:00Z,13.18,14.5,12.68,13.81,NaN
2016-06-24T00:00:00Z,13.98,14.8,13.25,14.55,NaN
2016-06-25T00:00:00Z,14.55,14.74,14,14.37,NaN
2016-06-26T00:00:00Z,14.39,14.49,13.6,14.02,NaN
2016-06-27T00:00:00Z,14,14.59,13.85,14.1,NaN
2016-06-28T00:00:00Z,14.06,14.25,11.52,12.23,NaN
